run_type,source_stem,position_index,reference_angle_commanded_deg,reference_angle_normalized_deg,is_closure_measurement,sample_count,elapsed_mid_s,yaw_sign_corrected_mean_deg,yaw_drift_corrected_mean_deg,error_sign_corrected_mean_deg,error_sign_corrected_sd_deg,error_drift_corrected_mean_deg,error_drift_corrected_sd_deg,yaw_sign_corrected_sd_deg,yaw_drift_corrected_sd_deg
randomized,segmented_randomized_20260717_143439,16,290.0,290.0,False,327,435.16575362415904,264.1750574314578,289.3950645850651,-25.824942568542188,0.12441908323555709,-0.6049354149349047,0.004465325368311452,0.12441908323555709,0.004465325368311452
randomized,segmented_randomized_20260717_143439,17,30.0,30.0,False,327,458.20442345229355,4.061908312974005,30.522665082532033,-25.938091687025995,0.11981324076168653,0.5226650825320343,0.008978095595920343,0.11981324076168699,0.00897809559592111
randomized,segmented_randomized_20260717_143439,18,340.0,340.0,False,327,487.7661471700306,312.22129397108574,340.27410000491307,-27.778706028914236,0.12733416725595756,0.2741000049130641,0.0053306170252845776,0.12733416725595756,0.0053306170252845776
randomized,segmented_randomized_20260717_143439,19,10.0,10.0,False,326,507.39340709263803,341.4966209137313,10.606454779148136,-28.503379086268716,0.12189998075150603,0.6064547791481363,0.006934604511222127,0.12189998075150603,0.006934604511222127
randomized,segmented_randomized_20260717_143439,20,250.0,250.0,False,327,529.3072277819572,219.80819328672973,250.09819791752136,-30.191806713270275,0.12296720897818236,0.0981979175213508,0.006784589192011917,0.12296720897818236,0.006784589192011917
randomized,segmented_randomized_20260717_143439,21,110.0,110.0,False,327,556.3081950740061,77.65047059620125,109.39461472583655,-32.349529403798755,0.1229982752161831,-0.6053852741634576,0.003979364254349036,0.12299827521618295,0.00397936425434904
randomized,segmented_randomized_20260717_143439,22,170.0,170.0,False,330,581.6619578360607,137.01576340948225,170.12533669126026,-32.98423659051775,0.12611276636666238,0.12533669126025138,0.0045387852090870385,0.12611276636666238,0.0045387852090870385
randomized,segmented_randomized_20260717_143439,23,160.0,160.0,False,327,603.478264258104,125.97527126795103,160.2597636755528,-34.02472873204897,0.12440405704379744,0.25976367555279106,0.0049056166712383945,0.12440405704379795,0.0049056166712383945
randomized,segmented_randomized_20260717_143439,24,150.0,150.0,False,325,624.467297816,114.44878513945484,149.86364381908567,-35.55121486054516,0.12488366978770826,-0.13635618091433563,0.005315708004662304,0.12488366978770778,0.005315708004662304
randomized,segmented_randomized_20260717_143439,25,240.0,240.0,False,325,658.1437885821539,203.11560469545364,240.3441137853025,-36.88439530454635,0.12288961871054531,0.3441137853025133,0.0058246887932678635,0.12288961871054531,0.0058246887932678635
